nome_vaga;empresa;id;nivel_experiencia;data_publicacao;faixa_salario;localizacao;modelo_contrato;beneficios;descricao_vaga
Projetista Mecânico (Engenharia);Galvani Fertilizantes;29;Técnico;Publicada em 24/07/2024;a combinar;Bahia;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio fretado, Café da manhã, Ginástica laboral;"Realizar avaliação dos projetos da Galvani com as melhores práticas de mercado, antecipando possíveis interferências e propondo soluções técnicas para correção quando identificadas para que os projetos sejam executados dentro do prazo acordado, atendendo o orçamento, escopo e garantindo a segurança com a meta de zero acidentes. Planejar, organizar e executar levantamentos de equipamentos, materiais e instalações, checar e validar cálculos estruturais, cálculos de tubulações, cálculos de bombeamentos e isométricos, elaborar croquis e desenhos, utilizar autocad 3D, estudando e verificando viabilidade de aplicação de novos projetos, assim como criticar e sugerir revisões dos desenhos técnicos. "" Avaliar e validar o detalhamento de projetos, através da verificação das especificações, requisições, desenhos e diagramas. Suportar levantamento em campo das necessidades do projeto, avaliar o escopo, requisitos e mapear os riscos relacionados. Levantar dados de campo nas áreas solicitantes e executar croquis para alinhamento e confirmação de especificações e detalhes de projetos solicitados. Efetuar cálculos de pesos de estruturas, bases e realizar estudo de construtibilidade. Analisar especificações e documentação técnica de projetos hidráulicos, mecânicos, elétricos e pneumáticos, quantificando materiais, etapas e recursos necessários, identificando e esclarecendo eventuais divergências de projeto entre o orçado e o real. Projetar estruturas metálicas utilizando programas específicos da área. Realizar desenhos e/ou esboço de baixa complexidade (ajustes de campo)  Requisitos: Nível técnico completo ou superior completo em Engenharia Mecânica, Elétrica ou áreas correlatas. Conhecimento em projetos mecânicos; Conhecimento em dimensionamento de componentes, equipamentos e instalações industriais; Conhecimento em desenho técnico mecânico, tubulações e estruturas metálicas; Conhecimento em AutoCAD Mechanical 3D; Conhecimentos em Navisworks. MS Office, Auto Cad, Sharepoint, Mechanical Desktop, Inventor, SAP.  DESEJÁVEL Conhecimento de boas práticas em projetos segundo PMBOK - Project Management Body of Knowledge;. Conhecimentos em Geração, Transmissão e Distribuição de Energia Elétrica; Conhecimentos em equipamentos rotativos e estáticos; Conhecimentos em gerenciamento na métodologia BIM;"""
Superintendente Engenharia e Energia;Orizon Meio Ambiente;30;Gerência;Publicada em 30/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Cesta de natal, Seguro de vida;Responsável pela gestão dos projetos e pela padronização dos processos de gestão de projetos para a Diretoria de Engenharia e Energia, tanto para as Unidades de Biometano quanto para outros projetos da companhia, garantindo que todos os projetos sigam as mesmas práticas e metodologias, independentemente do tamanho e complexidade dos projetos, atuando como elo entre a Alta Administração e os Gerentes de Projetos, fornecendo suporte, monitorando o progresso dos projetos e assegurando que os objetivos estratégicos das empresas sejam cumpridos conforme definição.  Entre as responsabilidades estão:  Inglês - Nível Fluente
Auxiliar Administrativo Eng. & Manutenção;Rede 7;31;Auxiliar/ Operacional;Publicada em 08/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio farmácia, Cesta básica, Seguro de vida, Vale-refeição;"Vaga de Auxiliar Administrativo  Auxiliar a leitura mensal dos medidores de água e luz dos postos de combustível. Auxiliar a registrar dados destas medições em planilha. Auxiliar na conferência e solicitar pagamento das contas de consumo. Auxiliar na elaboração relatórios para a Gestão para análise de possíveis causas de aumentos ou diminuições destes consumos. Auxiliar a manutenção para identificar vazamentos com o intuito de reduzir o consumo. Auxiliar na elaboração do relatório mensal com os dados coletados e análises, destacando consumos e despesas. Auxiliar na elaboração dos dados históricos para prever gastos futuros, ajudando na gestão orçamentária. Auxiliar no apoio os gerentes nas resoluções de problemas com água e energia.   Se você se encaixa no perfil acima, clique no botão ""Candidate-se"" abaixo e envie seu currículo. Estamos ansiosos para conhecê-lo! Excel Intermediário"
Programa de Estágio Mulheres na Engenharia;AtkinsRéalis;32;Estágio;Publicada em 08/07/2024;a combinar;Minas Gerais;Estágio;; Agora a SNC-Lavalin é AtkinsRéalis, uma organização líder mundial em design, engenharia e gerenciamento de projetos que conecta pessoas, dados e tecnologia para transformar a infraestrutura e os sistemas de energia do mundo.  Estamos reunindo os melhores e mais brilhantes para dar vida a ideias brilhantes – esse é o poder de mais de 36.000 pessoas em todo o mundo.  #AtkinsRéalis #TogetherChangesEverything  Para você que está buscando novas oportunidades e possui os requisitos mencionados, candidate-se. Estamos ansiosos para conhecer você!
Analista de Processos Engenharia de Manufatura;AAM do Brasil Ltda;33;Técnico;Publicada em 26/09/2024;a combinar;Araucária;Regime CLT;Assistência médica, Assistência odontológica, Auxílio farmácia, Café da manhã, Cesta de natal, Participação nos Lucros ou Resultados;"• Avaliar layout de fabricação e disposição de máquinas; • Desenvolver, configurar e otimizar processos industriais, desde o início até sua vida série; • Avaliar processos, fazer medições e interpretar, criticamente, com metodologia, dados; • Desenvolver melhores práticas, rotinas e soluções técnicas visando reduções de custos industriais recorrentes e não recorrentes, com foco na melhoria da segurança, qualidade e eficiência dos processos; • Elaborar orçamento, planejar e controlar os recursos necessários para implementação de novos projetos e novos programas, sob orientação eventual; • Desenvolvimento de projetos através de análise e acompanhamento de custos e investimentos, viabilidade técnica e interface com outras áreas (Logística / Produção / Qualidade / Engenharia / Sites / Clientes / Fornecedores); • Suporte técnico à linhas de produção e fornecedores; • Liderança de projetos Kaizen no piso de fábrica; • Implementação de projetos de melhoria: Performance nas áreas de manufatura, implementação e instalação de novos equipamentos, confiabilidade de equipamentos, otimização do produto e segurança; • Conhecimento do uso de método à análise de melhorias e solução de problemas; • Postura de liderança de equipes e times multifuncionais; • Elaboração de especificações técnicas de equipamentos/máquinas, documentações de novos procedimentos, parametrização de processos, plano de controle e capabilidade; Espanhol - Nível Intermediário e Inglês - Nível Intermediário o Superior completo em Engenharia (Mecânica, Mecatrônica, Automação, Produção, etc); o Inglês intermediário para leitura, escrita e conversação; o Conhecimento comprovada em processos de montagem mecânica (torque, prensagens, gravação,...) e testes funcionais; o Conhecimento comprovada nas ferramentas da qualidade (APQP, PPAP, CEP, MSA, FMEA); o Conhecimento de estruturas de produto, leitura e interpretação de desenhos técnicos; o Conhecimento de softwares de CAD;"
Bolsista Graduado [engenharia de Alimentos, Farmácia, Biologia, Química, Eng. Química] Givaudan;IEL /SP - Inova Talentos;34;Júnior/ Trainee;Publicada em 04/10/2024;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Bolsista Graduado [ Eng. Química, Eng. Ambiental] Bracell SP Celulose Ltda;IEL /SP - Inova Talentos;35;Júnior/ Trainee;Publicada em 04/10/2024;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Estágio em Administração de Empresas Ou Engenharia de Produção;Fundação Getulio Vargas;36;Estágio;Publicada em 27/09/2024;R$ 980;Rio de Janeiro;Estágio;Restaurante interno, Vale-transporte;"Envio de pesquisas de satisfação para os alunos (separar disciplinas, solicitar bases com os dados de envio, programar envios); Coleta dos dados e confecção de relatórios. Inglês - Nível Básico - Principais fórmulas no Excel (se, procv, cont.se), tabelas dinâmicas e segmentação de dados. - Comunicação clara e eficaz, tanto verbal como escrita; - Ética profissional e comprometimento; - Capacidade trabalhar em equipe; - Capacidade de analisar dados, identificar padrões e problemas; - Trabalhar com planilhas e ferramentas básicas de análise de dados. "
025554 - Engenheiro Ambiental Pleno (Três Marias/Mg);Lyon Engenharia;37;Pleno;Publicada há 3 dias;a combinar;Todo o Brasil;Regime CLT;Assistência médica, Assistência odontológica, Refeitório, Vale-transporte;
Engenheiro de Gestão de Ativos e Confiabilidade - Mecânica;Orizon Meio Ambiente;38;Sênior;Publicada em 04/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Cesta de natal, Seguro de vida;O Engenheiro de Gestão de Ativos e Confiabilidade é responsável por otimizar a performance, confiabilidade e vida útil dos equipamentos mecânicos em plantas de biogás, biometano e usinas termoelétricas. Essa função envolve a aplicação de práticas de manutenção preditiva, preventiva e corretiva, bem como a análise de dados para tomar decisões estratégicas relacionadas aos ativos.  Entre as responsabilidades estão:
Estágio em Engenharia Química (Industria Química);Axalta Coating Systems;39;Estágio;Publicada em 16/10/2024;a combinar;Guarulhos;Estágio;Assistência médica, Assistência odontológica, Cesta de natal, Ginástica laboral, Refeitório, Seguro de vida;"Principais Atividades:  - Realizar coleta e análise de dados, além de implementar melhorias de processos;  - Realizar atividades administrativas referentes a melhoria de processos nas células de produção;  - Realizar preparação de amostras laboratoriais e testes de controle. Inglês - Nível Intermediário Requisitos:  - Cursando superior em Engenharia Química;  - Conhecimento do pacote Office;  - Boa comunicação verbal e escrita."
